#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2014 01 01 19 00 253  3.2 999 99.0 9999
2014 01 01 19 10 265  2.5 999 99.0 9999
2014 01 01 19 20 266  2.4 999 99.0 9999
2014 01 01 19 30 251  1.9 999 99.0 9999
2014 01 01 19 40 267  1.7 999 99.0 9999
2014 01 01 19 50 262  1.4 241  4.8 1855
2014 01 01 20 00 253  1.4 999 99.0 9999
2014 01 01 20 10 237  1.3 999 99.0 9999
2014 01 01 20 20 213  1.0 999 99.0 9999
2014 01 01 20 30 250  0.8 999 99.0 9999
2014 01 01 20 40 279  0.9 999 99.0 9999
2014 01 01 20 50 312  0.5 260  2.7 1950
2014 01 01 21 00  20  0.8 999 99.0 9999
2014 01 01 21 10  23  0.9 999 99.0 9999
2014 01 01 21 20  34  1.8 999 99.0 9999
2014 01 01 21 30  53  1.5 999 99.0 9999
2014 01 01 21 40  35  1.6 999 99.0 9999
2014 01 01 21 50  20  1.8  47  2.5 2134
2014 01 01 22 00  50  2.0 999 99.0 9999
2014 01 01 22 10  22  2.4 999 99.0 9999
2014 01 01 22 20  33  2.6 999 99.0 9999
2014 01 01 22 30  35  2.5 999 99.0 9999
2014 01 01 22 40  54  3.2 999 99.0 9999
2014 01 01 22 50  55  2.9  58  4.2 2249
2014 01 01 23 00  66  2.9 999 99.0 9999
2014 01 01 23 10  61  3.3 999 99.0 9999
2014 01 01 23 20  69  3.0 999 99.0 9999
2014 01 01 23 30  61  3.3 999 99.0 9999
2014 01 01 23 40  58  3.3 999 99.0 9999
2014 01 01 23 50  53  3.6  67  4.5 2311
2014 01 02 00 00  55  3.9 999 99.0 9999
2014 01 02 00 10  54  4.1 999 99.0 9999
2014 01 02 00 20  66  3.4 999 99.0 9999
2014 01 02 00 30  59  3.6 999 99.0 9999
2014 01 02 00 40  61  4.2 999 99.0 9999
2014 01 02 00 50  66  4.8  61  6.2 0042
2014 01 02 01 00  61  5.1 999 99.0 9999
2014 01 02 01 10  65  5.8 999 99.0 9999
2014 01 02 01 20  62  5.9 999 99.0 9999
2014 01 02 01 30  63  6.0 999 99.0 9999
2014 01 02 01 40  58  6.5 999 99.0 9999
2014 01 02 01 50  62  6.7  60  8.5 0144
2014 01 02 02 00  56  6.7 999 99.0 9999
2014 01 02 02 10  64  6.9 999 99.0 9999
2014 01 02 02 20  62  6.6 999 99.0 9999
2014 01 02 02 30  61  7.3 999 99.0 9999
2014 01 02 02 40  56  7.6 999 99.0 9999
2014 01 02 02 50  59  7.9  45 10.0 0247
2014 01 02 03 00  61  7.8 999 99.0 9999
2014 01 02 03 10  58  8.4 999 99.0 9999
2014 01 02 03 20  60  8.5 999 99.0 9999
2014 01 02 03 30  60  8.5 999 99.0 9999
2014 01 02 03 40  61  8.6 999 99.0 9999
2014 01 02 03 50  62  9.0  60 11.5 0250
2014 01 02 04 00  59  8.7 999 99.0 9999
2014 01 02 04 10  55  9.2 999 99.0 9999
2014 01 02 04 20  58  9.3 999 99.0 9999
2014 01 02 04 30  54  9.7 999 99.0 9999
2014 01 02 04 40  59  9.7 999 99.0 9999
