#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2014 10 06 17 00 188  9.4 999 99.0 9999
2014 10 06 17 10 189  9.3 999 99.0 9999
2014 10 06 17 20 185  9.2 999 99.0 9999
2014 10 06 17 30 189  9.8 999 99.0 9999
2014 10 06 17 40 196  9.1 999 99.0 9999
2014 10 06 17 50 197  9.0 191 12.0 1705
2014 10 06 18 00 194  9.1 999 99.0 9999
2014 10 06 18 10 193  8.9 999 99.0 9999
2014 10 06 18 20 193  8.9 999 99.0 9999
2014 10 06 18 30 198  8.2 999 99.0 9999
2014 10 06 18 40 197  8.3 999 99.0 9999
2014 10 06 18 50 191  8.2 190 11.1 1810
2014 10 06 19 00 190  8.5 999 99.0 9999
2014 10 06 19 10 194  8.7 999 99.0 9999
2014 10 06 19 20 190  8.7 999 99.0 9999
2014 10 06 19 30 192  8.9 999 99.0 9999
2014 10 06 19 40 192  8.8 999 99.0 9999
2014 10 06 19 50 189  9.1 192 11.2 1929
2014 10 06 20 00 192  9.1 999 99.0 9999
2014 10 06 20 10 189  9.2 999 99.0 9999
2014 10 06 20 20 189  9.3 999 99.0 9999
2014 10 06 20 30 184  9.4 999 99.0 9999
2014 10 06 20 40 190  9.9 999 99.0 9999
2014 10 06 20 50 187 10.0 181 11.9 2041
2014 10 06 22 00 182  9.8 999 99.0 9999
2014 10 06 22 10 179 10.2 999 99.0 9999
2014 10 06 22 20 180 10.2 999 99.0 9999
2014 10 06 22 30 182 10.5 999 99.0 9999
2014 10 06 22 40 180 10.8 999 99.0 9999
2014 10 06 22 50 179 10.4 178 12.9 2243
2014 10 06 23 00 178 10.3 999 99.0 9999
2014 10 06 23 10 178 10.7 999 99.0 9999
2014 10 06 23 20 181 10.9 999 99.0 9999
2014 10 06 23 30 184 10.7 999 99.0 9999
2014 10 06 23 40 186 11.1 999 99.0 9999
2014 10 06 23 50 190 11.3 189 13.8 2340
2014 10 07 00 00 193 11.7 999 99.0 9999
2014 10 07 00 10 192 11.2 999 99.0 9999
2014 10 07 00 20 188 11.9 999 99.0 9999
2014 10 07 00 30 189 11.7 999 99.0 9999
2014 10 07 00 40 191 12.1 999 99.0 9999
2014 10 07 00 50 187 11.7 189 14.7 0015
2014 10 07 01 00 188 11.2 999 99.0 9999
2014 10 07 01 10 189 11.0 999 99.0 9999
2014 10 07 01 20 188 11.8 999 99.0 9999
2014 10 07 01 30 186 11.8 999 99.0 9999
2014 10 07 01 40 183 11.2 999 99.0 9999
2014 10 07 01 50 185 11.1 187 14.6 0112
2014 10 07 02 00 184 11.3 999 99.0 9999
2014 10 07 02 10 183 11.0 999 99.0 9999
2014 10 07 02 20 183 10.7 999 99.0 9999
2014 10 07 02 30 183 10.9 999 99.0 9999
2014 10 07 02 40 181 10.8 999 99.0 9999
2014 10 07 02 50 181 10.3 183 13.9 0158
2014 10 07 03 00 180 10.9 999 99.0 9999
2014 10 07 03 10 181 10.2 999 99.0 9999
2014 10 07 03 20 184 10.7 999 99.0 9999
2014 10 07 03 30 184 10.5 999 99.0 9999
2014 10 07 03 40 186 10.7 999 99.0 9999
2014 10 07 03 50 185 10.7 177 13.4 0251
2014 10 07 04 00 186 10.9 999 99.0 9999
2014 10 07 04 10 188 11.0 999 99.0 9999
2014 10 07 04 20 190 10.4 999 99.0 9999
2014 10 07 04 30 189 10.6 999 99.0 9999
2014 10 07 04 40 192 11.0 999 99.0 9999
2014 10 07 04 50 194 10.7 192 13.9 0435
2014 10 07 05 00 197 10.7 999 99.0 9999
2014 10 07 05 10 202 11.3 999 99.0 9999
2014 10 07 05 20 200 10.7 999 99.0 9999
2014 10 07 05 30 203 10.3 999 99.0 9999
2014 10 07 05 40 204 10.4 999 99.0 9999
2014 10 07 05 50 203 10.8 204 14.4 0503
2014 10 07 06 00 205 11.1 999 99.0 9999
2014 10 07 06 10 203 10.4 999 99.0 9999
2014 10 07 06 20 202 10.5 999 99.0 9999
2014 10 07 06 30 201 10.7 999 99.0 9999
2014 10 07 06 40 200 10.6 999 99.0 9999
2014 10 07 06 50 203 10.5 208 13.0 0556
2014 10 07 08 00 209 10.1 999 99.0 9999
2014 10 07 08 10 211 10.5 999 99.0 9999
2014 10 07 08 20 210 10.1 999 99.0 9999
2014 10 07 08 30 210 10.0 999 99.0 9999
2014 10 07 08 40 212 10.7 999 99.0 9999
2014 10 07 08 50 211 10.3 210 12.9 0757
2014 10 07 09 00 211 10.8 999 99.0 9999
2014 10 07 09 10 213 11.1 999 99.0 9999
2014 10 07 09 20 213 10.2 999 99.0 9999
2014 10 07 09 30 212 10.0 999 99.0 9999
2014 10 07 09 40 213  9.9 999 99.0 9999
2014 10 07 09 50 213 10.0 217 13.9 0901
2014 10 07 10 00 216  9.9 999 99.0 9999
2014 10 07 10 10 216 10.0 999 99.0 9999
2014 10 07 10 20 215  9.2 999 99.0 9999
2014 10 07 10 30 216  9.2 999 99.0 9999
2014 10 07 10 40 218  8.5 999 99.0 9999
2014 10 07 10 50 216  8.8 211 12.3 0950
2014 10 07 11 00 220  8.6 999 99.0 9999
2014 10 07 11 10 217  8.8 999 99.0 9999
2014 10 07 11 20 221  8.9 999 99.0 9999
2014 10 07 11 30 221  9.9 999 99.0 9999
2014 10 07 11 40 221  9.4 999 99.0 9999
2014 10 07 11 50 225  9.1 221 12.1 1129
2014 10 07 12 00 220  8.9 999 99.0 9999
2014 10 07 12 10 220  8.4 999 99.0 9999
2014 10 07 12 20 217  8.2 999 99.0 9999
2014 10 07 12 30 221  8.4 999 99.0 9999
2014 10 07 12 40 222  7.8 999 99.0 9999
2014 10 07 12 50 224  7.9 216 10.7 1153
2014 10 07 13 00 223  7.7 999 99.0 9999
2014 10 07 13 10 222  7.7 999 99.0 9999
2014 10 07 13 20 219  7.3 999 99.0 9999
2014 10 07 13 30 218  7.1 999 99.0 9999
2014 10 07 13 40 214  7.0 999 99.0 9999
2014 10 07 13 50 218  6.9 224  9.0 1301
2014 10 07 14 00 217  7.0 999 99.0 9999
2014 10 07 14 10 209  7.6 999 99.0 9999
2014 10 07 14 20 204  7.7 999 99.0 9999
2014 10 07 14 30 200  8.0 999 99.0 9999
2014 10 07 14 40 198  8.3 999 99.0 9999
2014 10 07 14 50 202  8.2 203  9.8 1446
2014 10 07 15 00 200  8.0 999 99.0 9999
2014 10 07 15 10 195  8.4 999 99.0 9999
2014 10 07 15 20 190  8.6 999 99.0 9999
2014 10 07 15 30 192  8.8 999 99.0 9999
2014 10 07 15 40 191  9.5 999 99.0 9999
2014 10 07 15 50 189  9.3 185 11.5 1536
2014 10 07 16 00 191  9.2 999 99.0 9999
2014 10 07 16 10 195  9.0 999 99.0 9999
2014 10 07 16 20 192  9.2 999 99.0 9999
2014 10 07 16 30 191  9.1 999 99.0 9999
2014 10 07 16 40 190  9.5 999 99.0 9999
2014 10 07 16 50 192  9.8 195 11.7 1647
2014 10 07 17 00 192  9.5 999 99.0 9999
2014 10 07 17 10 191  9.0 999 99.0 9999
2014 10 07 17 20 192  9.0 999 99.0 9999
2014 10 07 17 30 189  8.9 999 99.0 9999
2014 10 07 17 40 188  9.6 999 99.0 9999
2014 10 07 17 50 188  9.8 183 12.2 1743
2014 10 07 18 00 189 10.2 999 99.0 9999
2014 10 07 18 10 189 10.2 999 99.0 9999
2014 10 07 18 20 191  9.6 999 99.0 9999
2014 10 07 18 30 195  9.5 999 99.0 9999
2014 10 07 18 40 196  9.9 999 99.0 9999
2014 10 07 18 50 195  9.4 187 12.0 1804
2014 10 07 19 00 193  9.0 999 99.0 9999
2014 10 07 19 10 193  9.1 999 99.0 9999
2014 10 07 19 20 192  8.6 999 99.0 9999
2014 10 07 19 30 193  8.6 999 99.0 9999
2014 10 07 19 40 191  8.7 999 99.0 9999
2014 10 07 19 50 191  8.9 199 11.1 1850
2014 10 07 20 00 189  9.0 999 99.0 9999
2014 10 07 20 10 187  9.0 999 99.0 9999
2014 10 07 20 20 187  8.9 999 99.0 9999
2014 10 07 20 30 188  9.2 999 99.0 9999
2014 10 07 20 40 189  9.2 999 99.0 9999
2014 10 07 20 50 187  9.5 190 11.3 2042
2014 10 07 21 00 186  9.3 999 99.0 9999
2014 10 07 21 10 189  8.8 999 99.0 9999
2014 10 07 21 20 187  9.2 999 99.0 9999
2014 10 07 21 30 185  9.3 999 99.0 9999
2014 10 07 21 40 181  9.3 999 99.0 9999
2014 10 07 21 50 176  9.9 172 11.9 2141
2014 10 07 22 00 178  9.3 999 99.0 9999
2014 10 07 22 10 178  9.2 999 99.0 9999
2014 10 07 22 20 177  9.7 999 99.0 9999
2014 10 07 22 30 178  9.8 999 99.0 9999
2014 10 07 22 40 179  9.8 999 99.0 9999
2014 10 07 22 50 180 10.0 180 12.4 2245
2014 10 07 23 00 181  9.3 999 99.0 9999
2014 10 07 23 10 183  9.5 999 99.0 9999
2014 10 07 23 20 185  9.6 999 99.0 9999
2014 10 07 23 30 184  9.9 999 99.0 9999
2014 10 07 23 40 182  9.6 999 99.0 9999
2014 10 07 23 50 186 10.2 185 12.2 2348
2014 10 08 00 00 186 10.3 999 99.0 9999
2014 10 08 00 10 186 10.0 999 99.0 9999
2014 10 08 00 20 185  9.7 999 99.0 9999
2014 10 08 00 30 178  9.9 999 99.0 9999
2014 10 08 00 40 180  9.7 999 99.0 9999
2014 10 08 00 50 181  9.8 185 12.3 2353
2014 10 08 01 00 183 10.5 999 99.0 9999
2014 10 08 01 10 181 10.4 999 99.0 9999
2014 10 08 01 20 181 10.6 999 99.0 9999
2014 10 08 01 30 184 10.4 999 99.0 9999
2014 10 08 01 40 186 10.3 999 99.0 9999
2014 10 08 01 50 184 10.1 182 12.8 0104
2014 10 08 02 00 183 10.3 999 99.0 9999
2014 10 08 02 10 182 10.1 999 99.0 9999
2014 10 08 02 20 184 10.2 999 99.0 9999
2014 10 08 02 30 183 11.0 999 99.0 9999
2014 10 08 02 40 181 11.0 999 99.0 9999
2014 10 08 02 50 181 11.1 183 13.6 0235
2014 10 08 03 00 182 11.0 999 99.0 9999
2014 10 08 03 10 182 11.2 999 99.0 9999
2014 10 08 03 20 182 11.1 999 99.0 9999
2014 10 08 03 30 185 11.8 999 99.0 9999
