#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2020 07 01 08 20 280  1.0  1.7 99.00 99.00 99.00 999 1011.0 999.0  22.6 999.0 99.0 99.00 
2020 07 01 08 30 291  1.2  1.8 99.00 99.00 99.00 999 1011.1 999.0  22.6 999.0 99.0 99.00 
2020 07 01 08 40 305  1.2  1.8  0.75  8.33  6.56 127 1011.1 999.0  22.7 999.0 99.0 99.00 
2020 07 01 08 50 300  1.2  1.9 99.00 99.00 99.00 999 1011.1 999.0  22.7 999.0 99.0 99.00 
2020 07 01 09 00 315  1.1  1.7 99.00 99.00 99.00 999 1011.0 999.0  22.7 999.0 99.0 99.00 
2020 07 01 09 10 311  0.6  1.2 99.00 99.00 99.00 999 1011.0 999.0  22.6 999.0 99.0 99.00 
2020 07 01 09 20 347  0.6  1.3 99.00 99.00 99.00 999 1011.1 999.0  22.5 999.0 99.0 99.00 
2020 07 01 09 30 327  0.2  0.8 99.00 99.00 99.00 999 1011.3 999.0  22.4 999.0 99.0 99.00 
2020 07 01 09 40 351  0.9  1.6  0.79  9.09  6.74  99 1011.3 999.0  22.3 999.0 99.0 99.00 
2020 07 01 09 50 357  1.3  1.8 99.00 99.00 99.00 999 1011.3 999.0  22.3 999.0 99.0 99.00 
2020 07 01 10 00   6  1.6  2.2 99.00 99.00 99.00 999 1011.3 999.0  22.6 999.0 99.0 99.00 
2020 07 01 10 10  14  2.2  2.8 99.00 99.00 99.00 999 1011.3 999.0  22.7 999.0 99.0 99.00 
2020 07 01 10 20  19  2.3  2.8 99.00 99.00 99.00 999 1011.4 999.0  22.7 999.0 99.0 99.00 
2020 07 01 10 30  19  2.5  3.4 99.00 99.00 99.00 999 1011.2 999.0  22.8 999.0 99.0 99.00 
2020 07 01 10 40  21  3.3  4.0  0.77  9.09  6.87 124 1011.2 999.0  22.8 999.0 99.0 99.00 
2020 07 01 10 50  26  2.9  3.8 99.00 99.00 99.00 999 1011.3 999.0  22.8 999.0 99.0 99.00 
2020 07 01 11 00  34  2.6  3.4 99.00 99.00 99.00 999 1011.4 999.0  22.8 999.0 99.0 99.00 
