#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2020 08 01 00 00 175  0.5  1.1 99.00 99.00 99.00 999 1009.1 999.0  24.7 999.0 99.0 99.00 
2020 08 01 00 10 205  0.5  1.0 99.00 99.00 99.00 999 1009.2 999.0  24.6 999.0 99.0 99.00 
2020 08 01 00 20 214  0.9  1.3 99.00 99.00 99.00 999 1009.2 999.0  24.8 999.0 99.0 99.00 
2020 08 01 00 30 224  0.7  1.2 99.00 99.00 99.00 999 1009.3 999.0  24.8 999.0 99.0 99.00 
2020 08 01 00 40 234  0.5  0.8  0.74 10.81  5.40 117 1009.4 999.0  24.8 999.0 99.0 99.00 
2020 08 01 00 50 214  0.8  1.2 99.00 99.00 99.00 999 1009.5 999.0  24.6 999.0 99.0 99.00 
2020 08 01 01 00 204  0.9  1.3 99.00 99.00 99.00 999 1009.7 999.0  24.5 999.0 99.0 99.00 
2020 08 01 01 10 201  1.4  1.9 99.00 99.00 99.00 999 1009.9 999.0  24.5 999.0 99.0 99.00 
2020 08 01 01 20 197  1.4  2.0 99.00 99.00 99.00 999 1010.0 999.0  24.2 999.0 99.0 99.00 
2020 08 01 01 30 214  1.2  1.8 99.00 99.00 99.00 999 1010.0 999.0  24.2 999.0 99.0 99.00 
2020 08 01 01 40 229  1.4  1.8  0.70  7.14  5.50 154 1010.0 999.0  24.2 999.0 99.0 99.00 
2020 08 01 01 50 232  1.2  1.6 99.00 99.00 99.00 999 1010.0 999.0  24.2 999.0 99.0 99.00 
2020 08 01 02 00 228  1.1  1.7 99.00 99.00 99.00 999 1010.1 999.0  24.4 999.0 99.0 99.00 
2020 08 01 02 10 227  1.0  1.4 99.00 99.00 99.00 999 1010.2 999.0  24.2 999.0 99.0 99.00 
2020 08 01 02 20 219  1.2  1.5 99.00 99.00 99.00 999 1010.2 999.0  24.3 999.0 99.0 99.00 
2020 08 01 02 30 228  1.3  1.7 99.00 99.00 99.00 999 1010.3 999.0  24.2 999.0 99.0 99.00 
2020 08 01 02 40 243  1.7  2.3  0.64 10.81  5.14  97 1010.5 999.0  24.1 999.0 99.0 99.00 
2020 08 01 02 50 253  2.2  2.8 99.00 99.00 99.00 999 1010.6 999.0  24.0 999.0 99.0 99.00 
