#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2020 06 30 23 50 999 99.0 99.0  0.63 10.00  5.92  92 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 00 50 999 99.0 99.0  0.67  9.09  6.19  95 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 01 50 999 99.0 99.0  0.60 10.00  5.96  97 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 02 50 999 99.0 99.0  0.63  9.09  6.03 122 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 03 50 999 99.0 99.0  0.60 10.00  6.11 105 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 04 50 999 99.0 99.0  0.66  9.09  6.55 129 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 05 50 999 99.0 99.0  0.66 10.00  6.47  99 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 06 50 999 99.0 99.0  0.67  9.09  6.29 104 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 07 50 999 99.0 99.0  0.64  9.09  5.84 171 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 08 50 999 99.0 99.0  0.72  9.09  6.55  97 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 09 50 999 99.0 99.0  0.66  9.09  6.43  92 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 10 50 999 99.0 99.0  0.65  9.09  6.73 116 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 11 50 999 99.0 99.0  0.76  9.09  7.03  90 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 12 50 999 99.0 99.0  0.71  8.33  6.58 137 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 13 50 999 99.0 99.0  0.73 10.00  6.83 139 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 14 50 999 99.0 99.0  0.73  9.09  6.59 119 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 15 50 999 99.0 99.0  0.70  9.09  6.98 121 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 16 50 999 99.0 99.0  0.70  9.09  6.77  84 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 17 50 999 99.0 99.0  0.71  9.09  6.97  98 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 18 50 999 99.0 99.0  0.75  9.09  7.05 102 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 19 50 999 99.0 99.0  0.67 10.00  7.00  79 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 20 50 999 99.0 99.0  0.82  9.09  7.29  85 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 21 50 999 99.0 99.0  0.77  8.33  7.05 106 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 22 50 999 99.0 99.0  0.72 10.00  7.24  91 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 01 23 50 999 99.0 99.0  0.79  8.33  7.38  89 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 00 50 999 99.0 99.0  0.81 10.00  7.18  95 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 01 50 999 99.0 99.0  0.85  9.09  7.52 109 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 02 50 999 99.0 99.0  0.78  7.69  7.24 114 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 03 50 999 99.0 99.0  0.92  9.09  7.52 112 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 04 50 999 99.0 99.0  0.84  8.33  6.76 107 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 05 50 999 99.0 99.0  0.93  8.33  7.22 120 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 06 50 999 99.0 99.0  0.90  9.09  7.13 116 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 07 50 999 99.0 99.0  0.92 10.00  7.04 121 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 08 50 999 99.0 99.0  0.85  9.09  7.02  82 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 09 50 999 99.0 99.0  0.81  9.09  6.77 105 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 10 50 999 99.0 99.0  0.76  9.09  7.14  83 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 11 50 999 99.0 99.0  0.73  9.09  6.42 126 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 12 50 999 99.0 99.0  0.75  8.33  6.43 116 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 13 50 999 99.0 99.0  0.74  8.33  6.49 125 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 14 50 999 99.0 99.0  0.72  7.69  6.14 128 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 15 50 999 99.0 99.0  0.75  9.09  6.88 132 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 16 50 999 99.0 99.0  0.77  9.09  6.84 142 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 17 50 999 99.0 99.0  0.79  7.69  6.51 133 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 18 50 999 99.0 99.0  0.76  7.14  6.52 131 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 19 50 999 99.0 99.0  0.82  8.33  6.67 116 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 20 50 999 99.0 99.0  0.78  7.69  6.38 114 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 21 50 999 99.0 99.0  0.72  7.69  6.59 115 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 22 50 999 99.0 99.0  0.75  8.33  6.88  97 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 02 23 50 999 99.0 99.0  0.74  9.09  6.46 109 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 00 50 999 99.0 99.0  0.82  9.09  5.09  96 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 01 50 999 99.0 99.0  0.77  9.09  4.96 114 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 02 50 999 99.0 99.0  0.78  8.33  5.17 130 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 03 50 999 99.0 99.0  0.81  8.33  5.45 120 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 04 50 999 99.0 99.0  0.78  7.69  5.58 129 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 05 50 999 99.0 99.0  0.81  7.69  5.75 130 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 06 50 999 99.0 99.0  0.71  8.33  5.67 121 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 07 50 999 99.0 99.0  0.76  6.67  5.11 119 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 08 50 999 99.0 99.0  0.84  7.69  4.83 130 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 09 50 999 99.0 99.0  0.72  8.33  4.62 114 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 10 50 999 99.0 99.0  0.71  9.09  4.68 122 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 11 50 999 99.0 99.0  0.75  9.09  4.65 107 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 12 50 999 99.0 99.0  0.76  7.69  4.63 128 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 13 50 999 99.0 99.0  0.70  7.69  4.66 130 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 14 50 999 99.0 99.0  0.75  7.69  4.42 130 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 15 50 999 99.0 99.0  0.64  7.14  4.76 105 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 16 50 999 99.0 99.0  0.66  7.14  5.42 120 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 17 50 999 99.0 99.0  0.64  7.69  5.87 125 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 18 50 999 99.0 99.0  0.66  6.67  5.94 105 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 19 50 999 99.0 99.0  0.63  8.33  5.75 111 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 20 50 999 99.0 99.0  0.62  7.14  5.91 117 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 21 50 999 99.0 99.0  0.55  6.67  5.59 135 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 22 50 999 99.0 99.0  0.56  8.33  5.88  84 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 03 23 50 999 99.0 99.0  0.58  9.09  5.53 107 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 00 50 999 99.0 99.0  0.57  8.33  5.58  93 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 01 50 999 99.0 99.0  0.58  7.69  5.76 114 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 02 50 999 99.0 99.0  0.56  7.69  5.86 105 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 03 50 999 99.0 99.0  0.57  7.14  6.45 125 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 04 50 999 99.0 99.0  0.58  8.33  6.61 104 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 05 50 999 99.0 99.0  0.57  7.14  6.34 117 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 06 50 999 99.0 99.0  0.61  7.14  5.52 116 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 07 50 999 99.0 99.0  0.64  7.14  4.89 116 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 08 50 999 99.0 99.0  0.71  7.69  4.74  90 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 09 50 999 99.0 99.0  0.73  8.33  4.65  96 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 10 50 999 99.0 99.0  0.77  6.67  4.52 112 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 11 50 999 99.0 99.0  0.81  7.14  3.99 115 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 12 50 999 99.0 99.0  0.80  8.33  4.26 102 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 13 50 999 99.0 99.0  0.86  7.69  4.28 104 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 14 50 999 99.0 99.0  0.84  7.69  4.47 120 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 15 50 999 99.0 99.0  0.75  6.67  4.42 122 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 16 50 999 99.0 99.0  0.73  4.35  4.34  52 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 17 50 999 99.0 99.0  0.82  4.55  4.44  49 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 18 50 999 99.0 99.0  0.86  5.00  4.18  50 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 19 50 999 99.0 99.0  0.83 10.00  4.23 123 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 20 50 999 99.0 99.0  0.85  8.33  4.69 111 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 21 50 999 99.0 99.0  0.84  5.26  4.64  65 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 22 50 999 99.0 99.0  0.83 10.00  4.61  69 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 04 23 50 999 99.0 99.0  0.81  7.14  4.65 121 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 00 50 999 99.0 99.0  0.85  5.00  4.70  57 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 01 50 999 99.0 99.0  0.89  5.26  4.48  49 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 02 50 999 99.0 99.0  0.82  5.26  4.64  46 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 03 50 999 99.0 99.0  0.78 10.00  4.66  97 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 04 50 999 99.0 99.0  0.77  5.56  4.59  51 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 05 50 999 99.0 99.0  0.74  8.33  4.70 107 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 06 50 999 99.0 99.0  0.75  7.69  4.84 117 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 07 50 999 99.0 99.0  0.77  5.26  5.17  79 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 08 50 999 99.0 99.0  0.68  9.09  5.09 151 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 09 50 999 99.0 99.0  0.74  5.56  5.32  86 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 10 50 999 99.0 99.0  0.74  9.09  5.45 122 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 11 50 999 99.0 99.0  0.72 10.00  5.05 127 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 12 50 999 99.0 99.0  0.65  8.33  5.22  95 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 13 50 999 99.0 99.0  0.63 10.00  5.32  75 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 14 50 999 99.0 99.0  0.61  9.09  5.29 124 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 15 50 999 99.0 99.0  0.59 10.00  5.77 122 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 16 50 999 99.0 99.0  0.58  9.09  5.85  97 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 17 50 999 99.0 99.0  0.59  9.09  5.78 130 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 18 50 999 99.0 99.0  0.56  7.69  4.70 114 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 19 50 999 99.0 99.0  0.61  8.33  3.92  99 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 20 50 999 99.0 99.0  0.65  3.03  3.72 197 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 21 50 999 99.0 99.0  0.81  9.09  3.88 121 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 22 50 999 99.0 99.0  0.79  3.57  3.73 203 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 05 23 50 999 99.0 99.0  0.92  3.70  3.77 201 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 00 50 999 99.0 99.0  0.96  3.70  3.84 209 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 01 50 999 99.0 99.0  0.94  4.00  3.82 222 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 02 50 999 99.0 99.0  0.95  4.00  3.99 227 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 03 50 999 99.0 99.0  0.84  3.85  4.09 222 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 04 50 999 99.0 99.0  0.78  3.85  4.12 211 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 05 50 999 99.0 99.0  0.73  4.17  4.07 204 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 06 50 999 99.0 99.0  0.74  9.09  4.39 131 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 07 50 999 99.0 99.0  0.70  4.17  4.24 211 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 08 50 999 99.0 99.0  0.72  4.00  4.12 213 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 09 50 999 99.0 99.0  0.71  4.00  4.17 190 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 10 50 999 99.0 99.0  0.76  4.17  4.20 194 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 11 50 999 99.0 99.0  0.74  9.09  4.17 121 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 12 50 999 99.0 99.0  0.75  8.33  4.26  98 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 13 50 999 99.0 99.0  0.68  9.09  4.21 103 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 14 50 999 99.0 99.0  0.65  8.33  4.20 167 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 15 50 999 99.0 99.0  0.62  9.09  3.92  75 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 16 50 999 99.0 99.0  0.63  9.09  3.69 102 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 17 50 999 99.0 99.0  0.68  9.09  3.81 108 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 18 50 999 99.0 99.0  0.79  3.85  3.82 203 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 19 50 999 99.0 99.0  0.85  3.85  3.82 206 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 20 50 999 99.0 99.0  0.89  4.00  3.84 213 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 21 50 999 99.0 99.0  0.81  4.00  3.96 205 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 22 50 999 99.0 99.0  0.82  4.00  4.04 193 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 06 23 50 999 99.0 99.0  0.80  4.00  3.84 182 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 07 00 50 999 99.0 99.0  0.87  4.00  3.80 183 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 07 01 50 999 99.0 99.0  1.05  4.35  4.05  19 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 07 02 50 999 99.0 99.0  1.01  5.26  4.17   8 9999.0 999.0 999.0 999.0 99.0 99.00
2020 07 07 03 50 999 99.0 99.0  0.89  4.76  4.25  12 9999.0 999.0 999.0 999.0 99.0 99.00
