#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2020 07 31 23 50 999 99.0 99.0  1.05  5.26  4.65  55 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 00 50 999 99.0 99.0  1.06  5.26  4.81  62 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 01 50 999 99.0 99.0  1.00  5.88  4.88  64 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 02 50 999 99.0 99.0  0.91  5.56  4.78  49 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 03 50 999 99.0 99.0  0.91  5.00  4.96  63 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 04 50 999 99.0 99.0  0.87  5.26  5.05  77 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 05 50 999 99.0 99.0  0.88  6.25  5.14 166 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 06 50 999 99.0 99.0  0.85 13.79  5.30 147 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 07 50 999 99.0 99.0  0.89  5.88  4.97 139 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 08 50 999 99.0 99.0  0.91  5.56  4.85 120 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 09 50 999 99.0 99.0  0.89  5.26  4.91 123 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 10 50 999 99.0 99.0  1.02  6.25  5.21 161 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 11 50 999 99.0 99.0  1.00 12.90  5.14 144 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 12 50 999 99.0 99.0  1.03 12.90  5.21 132 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 13 50 999 99.0 99.0  0.94 12.12  5.10  95 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 14 50 999 99.0 99.0  0.95 12.90  5.41 126 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 15 50 999 99.0 99.0  1.07 12.12  6.01 118 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 16 50 999 99.0 99.0  0.94 11.43  5.64 136 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 17 50 999 99.0 99.0  0.97 11.43  5.99 138 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 18 50 999 99.0 99.0  1.00 11.43  5.98 138 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 19 50 999 99.0 99.0  0.98 11.43  6.07 156 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 20 50 999 99.0 99.0  0.94 11.43  5.99 129 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 21 50 999 99.0 99.0  0.92 11.43  6.01 109 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 22 50 999 99.0 99.0  0.93 11.43  6.05 102 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 01 23 50 999 99.0 99.0  0.95 11.43  5.78  97 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 00 50 999 99.0 99.0  0.99 10.81  5.44 113 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 01 50 999 99.0 99.0  1.00 10.81  5.61  97 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 02 50 999 99.0 99.0  0.97 10.81  5.50 112 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 03 50 999 99.0 99.0  0.86 10.81  5.42 125 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 04 50 999 99.0 99.0  0.94 10.81  5.36 125 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 05 50 999 99.0 99.0  0.99 10.81  4.81 115 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 06 50 999 99.0 99.0  1.02 10.81  4.53 107 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 07 50 999 99.0 99.0  0.95 10.00  4.30 151 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 08 50 999 99.0 99.0  1.05 10.00  4.42 146 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 09 50 999 99.0 99.0  1.04 10.00  4.34  75 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 10 50 999 99.0 99.0  1.01 10.00  4.24  88 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 12 50 999 99.0 99.0  1.10  4.35  4.21 203 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 13 50 999 99.0 99.0  1.05 10.00  4.23 119 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 14 50 999 99.0 99.0  1.09 10.00  4.33 101 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 15 50 999 99.0 99.0  1.12 10.00  4.56 101 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 16 50 999 99.0 99.0  1.22 10.00  4.45 111 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 17 50 999 99.0 99.0  1.39  4.76  4.55 202 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 18 50 999 99.0 99.0  1.47  5.00  4.62 200 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 19 50 999 99.0 99.0  1.43  5.00  4.51 199 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 20 50 999 99.0 99.0  1.59  5.56  4.62 192 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 21 50 999 99.0 99.0  1.45  5.56  4.65 189 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 22 50 999 99.0 99.0  1.51  5.56  4.54 184 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 02 23 50 999 99.0 99.0  1.53  5.88  4.59 184 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 03 00 50 999 99.0 99.0  1.61  5.88  4.69 187 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 03 01 50 999 99.0 99.0  1.53  4.76  4.58 195 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 03 02 50 999 99.0 99.0  1.65  6.25  4.70 190 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 03 03 50 999 99.0 99.0  1.57  6.25  4.69 183 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 03 04 50 999 99.0 99.0  1.50  5.56  4.80 198 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 03 05 50 999 99.0 99.0  1.58  5.88  4.85 190 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 03 06 50 999 99.0 99.0  1.43  5.88  4.74 183 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 03 07 50 999 99.0 99.0  1.33  6.67  4.66 177 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 03 08 50 999 99.0 99.0  1.37  6.25  4.70 186 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 03 09 50 999 99.0 99.0  1.26  5.88  4.72 183 9999.0 999.0 999.0 999.0 99.0 99.00
2020 08 03 10 50 999 99.0 99.0  1.25  6.67  4.66 187 9999.0 999.0 999.0 999.0 99.0 99.00
